;Fornecedor;;;Data;;;Valores;;;;Informações;;;;;;;Nota Fiscal;;
Não;417;CT-E: 139924;TRANSPORTADORA JOELMA;13/05/2025;09/06/2025;09/06/2025;403,07;403,07;Sim;403,07;BOL;ENTRADA Nº : 940 JOELMA FRETE CT-E: 139924 (PARC. 1/1);;DEP;0;0;0;;;139924
Não;433;SEGURO DE VIDA;BRASILSEG;09/06/2025;09/06/2025;09/06/2025;46,32;46,32;Sim;46,32;BOL;SEGURO DE VIDA - ABRIL/2025;;DEP;0;0;0;;;
Não;435;NFS-E: 643390205;SEM PARAR INSTITUICAO DE PAGAMENTO LTDA;04/06/2025;10/06/2025;10/06/2025;1.388,90;1.388,90;Sim;1.388,90;DEB;PEDÁGIO;"Nelson: R$ 574,20 (Placa SVV9A13 - Argo);
Mobi: R$ 54,70 (Placa SVV7E61);
Saveiro: R$ 760,00 (Placa FCH2I51). ";DEP;0;0;0;;;
Não;283;NFS-E: 761;CHIARI INFORMATICA;01/06/2025;10/06/2025;10/06/2025;220,00;220,00;Sim;220,00;BOL;BACKUP - JUNHO/2025;Backup.;DEP;0;0;0;;;
Não;460;ND;HIPER LOCADORA DE VEICULOS LTDA;26/05/2025;10/06/2025;10/06/2025;3.420,00;3.420,00;Sim;3.420,00;BOL;ALUGUEL DE VEÍCULO - MAIO/2025;Locação Mensal - Argo (Nelson) PLACA: SVV9A13. Período: 01/05/2025 à 31/05/2025.;DEP;0;0;0;;;
Não;459;NFS-E 61616;SERVICO SOCIAL DA INDUSTRIA - SESI - D.R. SAO PAULO;27/05/2025;10/06/2025;10/06/2025;268,00;268,00;Sim;268,00;BOL;MENSALIDADE ASSOCIAÇÃO - MAIO/2025;Mensalidade referente maio/2025.;DEP;0;0;0;;;
Não;463;NFS-E: 4870853;UNIMED DE RIBEIRAO PRETO COOPERATIVA DE TRABALHO MEDICO;02/06/2025;10/06/2025;10/06/2025;3.226,36;3.226,36;Sim;3.226,36;BOL;PLANO DE SAÚDE - JUNHO/2025;Plano de saúde referente junho/2025.;DEP;0;0;0;;;
Não;17;NF: 4214;D.M COMERCIO DE PARAFUSOS LTDA ME;29/05/2025;10/06/2025;10/06/2025;220,40;220,40;Sim;220,40;BOL;ENTRADA Nº : 931 D.M PARAFUSOS NF 4214 (PARC. 1/1);;DEP;0;0;0;55;1;4214
Não;204;NF: 4127;FERRAMENTAS SERTÃOZINHO;13/05/2025;10/06/2025;10/06/2025;355,00;355,00;Sim;355,00;BOL;ENTRADA Nº : 842 FERRAMENTAS SERTAOZINHO NF 4127 (PARC. 1/1);;DEP;0;0;0;55;1;4127
Não;416;ND;ACIS DE SERTAOZINHO;26/05/2025;10/06/2025;10/06/2025;114,33;114,33;Sim;114,33;BOL;MENSALIDADE ASSOCIAÇÃO - MAIO/2025;"Mensalidade referente maio/2025.
Mensalidade R$ 84,82
Consultas (2) R$ 29,51";DEP;0;0;0;;;
Não;453;IPTU/2025;PREFEITURA DE SERTAOZINHO;10/03/2025;10/06/2025;10/06/2025;419,63;419,63;Sim;419,63;BOL;IPTU (PARCELA 4 DE 10);IPTU - Av. Manoel Pavan/Tv. Luiz Ninin;DEP;0;0;0;;;
Não;423;CARTÃO DE CRÉDITO BB;CARTÃO DE CRÉDITO/DÉBITO - BANCO DO BRASIL;10/06/2025;10/06/2025;10/06/2025;904,16;904,16;Sim;904,16;DEB;CARTÃO DE CRÉDITO BB - 10/06/2025;"Cartão de crédito Ederson:
Gastos diversos: mala para viagem R$ 91,33 (parcela 06/06);
Curso Ederson e Naldo: R$ 799,00 (NFS-e 887 parcela 04/12);
Tarifa;";DEP;0;0;0;;;
Não;58;NF: 721859;COPERCANA-POSTO-SERTAOZINHO;07/05/2025;10/06/2025;10/06/2025;21,26;21,26;Sim;21,26;BOL;ENTRADA Nº : 831 (PARC. 1/1);;DEP;0;0;0;55;3;721859
Não;58;NF: 721865;COPERCANA-POSTO-SERTAOZINHO;07/05/2025;10/06/2025;10/06/2025;208,03;208,03;Sim;208,03;BOL;ENTRADA Nº : 832 (PARC. 1/1);;DEP;0;0;0;55;3;721865
Não;58;NF: 721234;COPERCANA-POSTO-SERTAOZINHO;30/04/2025;10/06/2025;10/06/2025;193,69;193,69;Sim;193,69;BOL;ENTRADA Nº : 805 (PARC. 1/1);;DEP;0;0;0;55;3;721234
Não;526;NF: 9312;SUELI APARECIDA CAMARGO SAVEGNAGO-ME  (SAV TINTA);16/05/2025;10/06/2025;10/06/2025;80,00;80,00;Sim;80,00;BOL;ENTRADA Nº : 853 SUELI SAVEGNAGO  NF 9312 (PARC. 1/1);;DEP;0;0;0;55;1;9312
Não;52;NF: 583287;PULL;13/05/2025;10/06/2025;10/06/2025;698,12;698,12;Sim;698,12;BOL;ENTRADA Nº : 843 PULL NF 583287 (PARC. 1/2);;DEP;0;0;0;55;1;583287
Não;29;NF: 77621;SERTPEL;21/05/2025;11/06/2025;11/06/2025;86,00;86,00;Sim;86,00;BOL;ENTRADA Nº : 884 SERTPEL NF 77621 (PARC. 1/1);;DEP;0;0;0;55;1;77621
Não;458;CONTA DE ÁGUA;SAEMAS;02/05/2025;11/06/2025;11/06/2025;502,71;502,71;Sim;502,71;BOL;CONTA DE ÁGUA - MAIO/2025;Conta de água referente maio/2025.;DEP;0;0;0;;;
Não;512;NF: 2471;MARCELO RODRIGO REGIS ENTREGA RAPIDA;10/06/2025;11/06/2025;11/06/2025;80,00;80,00;Sim;80,00;PIX;ENTRADA Nº : 991 (PARC. 1/1);"FRETE DA PULL
";DEP;0;0;0;;;2471
Não;240;NF: 20523;ZULMIRA;30/04/2025;11/06/2025;11/06/2025;1.265,00;1.265,00;Sim;1.265,00;BOL;ENTRADA Nº : 808 (PARC. 2/3);;DEP;0;0;0;55;1;20523
Não;76;NF: 298658;ELETRICA NICOLUCCI LTDA;14/05/2025;11/06/2025;11/06/2025;946,26;946,26;Sim;946,26;BOL;ENTRADA Nº : 845 NICOLUCCI NF 298658 (PARC. 1/1);;DEP;0;0;0;55;1;298658
Não;343;NF: 645495;JATI SP;12/05/2025;11/06/2025;11/06/2025;1.333,64;1.333,64;Sim;1.333,64;BOL;ENTRADA Nº : 840 JATI INOX NF 645495 (PARC. 1/1);;DEP;0;0;0;55;1;645495
Não;40;NF: 4065;SOLUÇÃO MOLAS;01/05/2025;12/06/2025;12/06/2025;858,17;858,17;Sim;858,17;BOL;ENTRADA Nº : 816 SOLUÇAO MOLAS NF 4065 (PARC. 3/3);;DEP;0;0;0;55;1;4065
Não;343;NF: 645626;JATI SP;13/05/2025;12/06/2025;12/06/2025;1.122,77;1.122,77;Sim;1.122,77;BOL;ENTRADA Nº : 841 JATI INOX NF 645626 (PARC. 1/2);;DEP;0;0;0;55;1;645626
Não;386;NF: 603947;ROMI S.A.;13/01/2025;12/06/2025;12/06/2025;1.771,84;1.771,84;Sim;1.771,84;BOL;ENTRADA Nº : 329 (PARC. 5/6);MATERIAL USADO PARA REFORMA DO CNC;DEP;0;0;0;55;1;603947
Não;373;NF: 282;HARTSTARK COMERCIO E DISTRIBUICAO DE MATERIAIS DUROS LTDA;12/02/2025;12/06/2025;12/06/2025;6.021,39;6.021,39;Sim;6.021,39;BOL;ENTRADA Nº : 497 (PARC. 4/4);;DEP;0;0;0;55;2;282
Não;461;NFS-E: 1507;TEC GS TECNOLOGIA DA INFORMACAO LTDA (GRV);02/05/2025;12/06/2025;12/06/2025;2.113,89;2.113,89;Sim;2.113,89;BOL;MENSALIDADE SISTEMA;Mensalidade licença CPS.;DEP;0;0;0;;;
Não;86;NF: 57364;USINA VEDACOES;15/05/2025;12/06/2025;12/06/2025;688,90;688,90;Sim;688,90;BOL;ENTRADA Nº : 850 UNSINA VEDAÇOES NF 57364 (PARC. 1/1);;DEP;0;0;0;55;1;57364
Não;49;NF: 76510;DINSER FERRAMENTAS DIAMANTADAS LTDA;28/04/2025;12/06/2025;12/06/2025;356,15;356,15;Sim;356,15;BOL;ENTRADA Nº : 806 (PARC. 2/2);;DEP;0;0;0;55;1;76510
Não;437;CARTÃO DE CRÉDITO SICREDI;SICREDI PARQUE DAS ARAUCARIAS PR/SC/SP;13/06/2025;13/06/2025;13/06/2025;7.573,21;7.573,21;Sim;7.573,21;C C;CARTÃO DE CRÉDITO SICREDI - 13/06/2025;"Cartão de crédito Sicredi:
Compra pessoal celular Junio (Parcela 04/06) R$ 124,83;
Ferramentas de usinagem R$ 198,53 - paquímetros (parcela 03/06);
Revisão Saveiro R$ 797,00 (parcela 02/02);
Viagem Junio para Santo Expedito: Refeição R$ 570,69 | Combustível R$ 753,31;
Viagem Junio para Solubio: Refeição R$ 150,01 | Combustível R$ 568,65;
Viagem Junio para Citrosuco e Tereos: Refeição R$ 51,00 | Combustível R$ 375,59;
Viagem Junio para Tirolez: Refeição R$ 70,00 | Combustível R$ 200,13;
Viagem Junio e Nathan para Ballagro: Refeição R$ 22,50 | Combustível R$ 309,03;
Viagem Eliel para Ribeirão Preto/SP: Refeição R$ 9,00 | Combustível R$ 163,50;
Ederson: Refeição R$ 216,82 | Combustível: 641,43
Ederson e Nelson: Refeição R$ 309,20 | Hospedagem NFS-e 49909 R$ 1.048,00/NFS-e 51955 R$ 480,00
Fabricação do Patamar: R$ 509,00 - bucha, abraçadeira, disco de corte, disco flap, prensa cabo, terminal fêmea, lâmpada, bucha redução e Tubo PU.
Frete (Uber) R$ 4,99
";DEP;0;0;0;;;
Não;249;NFS-E: 29114;BURITI HOTEL;06/05/2025;13/06/2025;13/06/2025;212,00;212,00;Sim;212,00;C C;CARTÃO DE CRÉDITO SICREDI - 13/06/2025;Hospedagem Junio.;DEP;0;0;0;;;
Não;637;ND;FRAGA E FRAGA LTDA (FRANQUIA CORREIOS);12/06/2025;13/06/2025;13/06/2025;63,47;63,47;Sim;63,47;BOL;SEDEX;;DEP;0;0;0;;;
Não;403;ENERGIA ELÉTRICA;CPFL - COMPANHIA PAULISTA DE FORCA E LUZ;23/05/2025;13/06/2025;13/06/2025;519,26;519,26;Sim;519,26;BOL;ENERGIA ELÉTRICA - MAIO/2025;Energia Elétrica referente maio/2025 da Tr. Luiz Ninin (Em nome de Adilson Leonardo Domingues).;DEP;0;0;0;;;
Não;511;CPFL;ADILSON LEONARDO DOMINGUES;13/06/2025;13/06/2025;13/06/2025;2.036,84;2.036,84;Sim;2.036,84;PIX;DIFERENÇA ENERGIA ELÉTRICA - MAIO/2025;"Diferença energia elétrica referente maio/2025 da Tr. Luiz Ninin.
PIX para pagamento: (16) 99728-2042 em nome de Ademir Benedito Domingues. 
Energia Elétrica R$ 1.811,84 | Gravadora (parcela 04/04) R$ 225,00.";DEP;0;0;0;;;
Não;56;NF: 428084;MARTINELI COMERCIAL - LJ 001;16/05/2025;13/06/2025;13/06/2025;379,55;379,55;Sim;379,55;BOL;ENTRADA Nº : 870 MARTINELLI NF 428084 (PARC. 1/1);;DEP;0;0;0;55;3;428084
Não;249;NF: 10322;BURITI HOTEL;06/05/2025;13/06/2025;13/06/2025;4,00;4,00;Sim;4,00;C C;CARTÃO DE CRÉDITO SICREDI - 13/06/2025;Pago no cartão de crédito Sicredi.;DEP;0;0;0;55;2;10322
;;;;;;;R$186.641,28 ;R$186.641,28 ;;R$184.728,18 ;;;;;;;;;;
